feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
verb-stem,25,CTX1t,ZScot,-0.033333333333333326,-0.05882352941176469,-0.05363984674329503
verb-stem,25,CTX2t,FS,-0.1090909090909091,-0.058823529411764705,-0.07671957671957672
verb-stem,25,CTX2t,FScot,0.0,0.0,0.0
verb-stem,25,CTX2t,ZS,0.007936507936507936,-0.05882352941176472,-0.039702233250620333
verb-stem,25,CTX2t,ZScot,0.0888888888888889,0.0,0.013986013986013984
verb-stem,25,noCTX,FS,0.0,0.0,0.0
verb-stem,25,noCTX,FScot,0.3,0.11764705882352941,0.17185185185185187
verb-stem,25,noCTX,ZS,0.04040404040404039,0.0,0.010989010989011005
verb-stem,25,noCTX,ZScot,-0.09523809523809523,0.0,-0.019230769230769218
zero-3sg-pres-s,25,CTX1t,FS,-0.015966386554621903,0.0,-0.012794612794612803
zero-3sg-pres-s,25,CTX1t,FScot,-0.015873015873015817,0.0,-0.012987012987012991
zero-3sg-pres-s,25,CTX1t,ZS,-0.02941176470588236,-0.04999999999999993,-0.03703703703703709
zero-3sg-pres-s,25,CTX1t,ZScot,0.02857142857142858,0.050000000000000044,0.036363636363636376
zero-3sg-pres-s,25,CTX2t,FS,-0.015966386554621903,0.0,-0.012794612794612803
zero-3sg-pres-s,25,CTX2t,FScot,0.016541353383458635,-0.050000000000000044,0.0012539184952977678
zero-3sg-pres-s,25,CTX2t,ZS,0.0016339869281045694,-0.04999999999999993,-0.011904761904761973
zero-3sg-pres-s,25,CTX2t,ZScot,0.0326797385620915,0.0,0.026455026455026398
zero-3sg-pres-s,25,noCTX,FS,-0.0016339869281045694,0.04999999999999993,0.011904761904761973
zero-3sg-pres-s,25,noCTX,FScot,0.016934046345811082,0.0,0.01327742837176793
zero-3sg-pres-s,25,noCTX,ZS,-0.022321428571428603,0.050000000000000044,-0.0034965034965034336
zero-3sg-pres-s,25,noCTX,ZScot,-0.005514705882352922,0.050000000000000044,0.009971509971509973
zero-copula,25,CTX1t,FS,0.014196983141082531,-0.023809523809523836,-0.0024975024975024684
zero-copula,25,CTX1t,FScot,0.0,0.0,0.0
zero-copula,25,CTX1t,ZS,0.008503401360544172,0.023809523809523836,0.015140415140415087
zero-copula,25,CTX1t,ZScot,-0.06235827664399085,0.0,-0.03777472527472525
zero-copula,25,CTX2t,FS,-0.0028011204481792618,0.023809523809523836,0.008271298593879206
zero-copula,25,CTX2t,FScot,-0.03703703703703698,-0.04761904761904767,-0.04166666666666663
zero-copula,25,CTX2t,ZS,-0.021317829457364268,0.04761904761904756,0.010457516339869244
zero-copula,25,CTX2t,ZScot,-0.04254532001479838,-0.023809523809523725,-0.03554046406338429
zero-copula,25,noCTX,FS,0.0822222222222222,0.023809523809523725,0.05672163918040973
zero-copula,25,noCTX,FScot,0.005644811115935733,-0.023809523809523836,-0.0071613779478948425
zero-copula,25,noCTX,ZS,0.05011655011655014,-0.023809523809523836,0.012632787826586278
zero-copula,25,noCTX,ZScot,0.01952085181898844,-0.023809523809523836,0.0004995004995004271
zero-pl-s,25,CTX1t,FS,0.0,0.0,0.0
zero-pl-s,25,CTX1t,FScot,-0.5,-1.0,-0.6666666666666666
zero-pl-s,25,CTX1t,ZS,0.16666666666666669,0.0,0.16666666666666663
zero-pl-s,25,CTX1t,ZScot,0.0,0.0,0.0
zero-pl-s,25,CTX2t,FS,0.5,1.0,0.6666666666666666
zero-pl-s,25,CTX2t,FScot,-0.3333333333333333,-1.0,-0.5
zero-pl-s,25,CTX2t,ZS,0.16666666666666669,0.0,0.16666666666666663
zero-pl-s,25,CTX2t,ZScot,0.0,0.0,0.0
zero-pl-s,25,noCTX,FS,0.5,0.0,0.33333333333333337
zero-pl-s,25,noCTX,FScot,0.5,1.0,0.6666666666666666
zero-pl-s,25,noCTX,ZS,0.0,0.0,0.0
zero-pl-s,25,noCTX,ZScot,-0.5,-1.0,-0.6666666666666666
zero-poss,25,CTX1t,FS,0.0,0.0,0.0
zero-poss,25,CTX1t,FScot,0.29166666666666663,0.0,0.14141414141414144
