feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
zero-copula,25,noCTX,FScot,0.026350461133069825,0.0,0.021929824561403508
zero-copula,25,noCTX,ZS,0.021739130434782608,0.06666666666666667,0.03278688524590164
zero-copula,25,noCTX,ZScot,0.0073275862068965525,0.06666666666666665,0.013604110594568133
zero-pl-s,25,CTX1t,FScot,0.0,0.0,0.0
zero-pl-s,25,CTX1t,ZS,0.0,0.0,0.0
zero-pl-s,25,CTX1t,ZScot,0.0,0.0,0.0
zero-pl-s,25,CTX2t,FScot,0.0,0.0,0.0
zero-pl-s,25,CTX2t,ZS,0.0,0.0,0.0
zero-pl-s,25,CTX2t,ZScot,0.0,0.0,0.0
zero-pl-s,25,noCTX,FScot,0.0,0.0,0.0
zero-pl-s,25,noCTX,ZS,0.0,0.0,0.0
zero-pl-s,25,noCTX,ZScot,0.0,0.0,0.0
zero-poss,25,CTX1t,FS,0.0,0.0,0.0
zero-poss,25,CTX1t,FScot,0.0,0.0,0.0
zero-poss,25,CTX1t,ZS,-0.012088974854932303,0.0,-0.020614306328592038
zero-poss,25,CTX1t,ZScot,0.002370381518549177,-0.19999999999999996,0.004358711118315595
zero-poss,25,CTX2t,FS,0.0,0.0,0.0
zero-poss,25,CTX2t,FScot,-0.045454545454545456,-0.4,-0.08163265306122448
zero-poss,25,CTX2t,ZS,-0.02538964303670186,0.0,-0.044858982900288696
zero-poss,25,CTX2t,ZScot,0.00412058121882455,-0.19999999999999996,0.007655700393130564
zero-poss,25,noCTX,FS,0.0,0.0,0.0
zero-poss,25,noCTX,FScot,0.0,0.0,0.0
zero-poss,25,noCTX,ZS,0.0,0.0,0.0
zero-poss,25,noCTX,ZScot,0.00745540691192865,0.19999999999999996,0.014500537056928033
zero-rel-pronoun,25,CTX1t,ZS,0.0,0.0,0.0
zero-rel-pronoun,25,CTX1t,ZScot,0.0,0.0,0.0
zero-rel-pronoun,25,CTX2t,ZS,0.0,0.0,0.0
zero-rel-pronoun,25,CTX2t,ZScot,0.0,0.0,0.0
zero-rel-pronoun,25,noCTX,ZS,0.0,0.0,0.0
zero-rel-pronoun,25,noCTX,ZScot,0.0,0.0,0.0
